id,parent_id,name,acronym,red,green,blue
480149206,480149202,"Rostrolateral lateral visual area, layer 1",VISrll1,24,128,100
480149210,480149202,"Rostrolateral lateral visual area, layer 2/3",VISrll2/3,24,128,100
480149214,480149202,"Rostrolateral lateral visual area, layer 4",VISrll4,24,128,100
480149218,480149202,"Rostrolateral lateral visual area,layer 5",VISrll5,24,128,100
480149222,480149202,"Rostrolateral lateral visual area, layer 6a",VISrll6a,24,128,100
480149226,480149202,"Rostrolateral lateral visual area, layer 6b",VISrll6b,24,128,100
337,322,"Primary somatosensory area, lower limb",SSp-ll,24,128,100
1030,337,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,24,128,100
113,337,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,24,128,100
1094,337,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,24,128,100
1128,337,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,24,128,100
478,337,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,24,128,100
510,337,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,24,128,100
345,322,"Primary somatosensory area, mouth",SSp-m,24,128,100
878,345,"Primary somatosensory area, mouth, layer 1",SSp-m1,24,128,100
657,345,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,24,128,100
950,345,"Primary somatosensory area, mouth, layer 4",SSp-m4,24,128,100
974,345,"Primary somatosensory area, mouth, layer 5",SSp-m5,24,128,100
1102,345,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,24,128,100
2,345,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,24,128,100
369,322,"Primary somatosensory area, upper limb",SSp-ul,24,128,100
450,369,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,24,128,100
854,369,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,24,128,100
577,369,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,24,128,100
625,369,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,24,128,100
945,369,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,24,128,100
1026,369,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,24,128,100
361,322,"Primary somatosensory area, trunk",SSp-tr,24,128,100
1006,361,"Primary somatosensory area, trunk, layer 1",SSp-tr1,24,128,100
670,361,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,24,128,100
1086,361,"Primary somatosensory area, trunk, layer 4",SSp-tr4,24,128,100
1111,361,"Primary somatosensory area, trunk, layer 5",SSp-tr5,24,128,100
9,361,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,24,128,100
461,361,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,24,128,100
182305689,322,"Primary somatosensory area, unassigned",SSp-un,24,128,100
182305693,182305689,"Primary somatosensory area, unassigned, layer 1",SSp-un1,24,128,100
182305697,182305689,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,24,128,100
182305701,182305689,"Primary somatosensory area, unassigned, layer 4",SSp-un4,24,128,100
182305705,182305689,"Primary somatosensory area, unassigned, layer 5",SSp-un5,24,128,100
182305709,182305689,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,24,128,100
182305713,182305689,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,24,128,100
378,453,Supplemental somatosensory area,SSs,24,128,100
873,378,"Supplemental somatosensory area, layer 1",SSs1,24,128,100
806,378,"Supplemental somatosensory area, layer 2/3",SSs2/3,24,128,100
1035,378,"Supplemental somatosensory area, layer 4",SSs4,24,128,100
1090,378,"Supplemental somatosensory area, layer 5",SSs5,24,128,100
862,378,"Supplemental somatosensory area, layer 6a",SSs6a,24,128,100
893,378,"Supplemental somatosensory area, layer 6b",SSs6b,24,128,100
1057,315,Gustatory areas,GU,0,156,117
36,1057,"Gustatory areas, layer 1",GU1,0,156,117
180,1057,"Gustatory areas, layer 2/3",GU2/3,0,156,117
148,1057,"Gustatory areas, layer 4",GU4,0,156,117
187,1057,"Gustatory areas, layer 5",GU5,0,156,117
638,1057,"Gustatory areas, layer 6a",GU6a,0,156,117
662,1057,"Gustatory areas, layer 6b",GU6b,0,156,117
677,315,Visceral area,VISC,17,173,131
897,677,"Visceral area, layer 1",VISC1,17,173,131
1106,677,"Visceral area, layer 2/3",VISC2/3,17,173,131
1010,677,"Visceral area, layer 4",VISC4,17,173,131
1058,677,"Visceral area, layer 5",VISC5,17,173,131
857,677,"Visceral area, layer 6a",VISC6a,17,173,131
849,677,"Visceral area, layer 6b",VISC6b,17,173,131
247,315,Auditory areas,AUD,1,147,153
1011,247,Dorsal auditory area,AUDd,1,147,153
527,1011,"Dorsal auditory area, layer 1",AUDd1,1,147,153
600,1011,"Dorsal auditory area, layer 2/3",AUDd2/3,1,147,153
678,1011,"Dorsal auditory area, layer 4",AUDd4,1,147,153
252,1011,"Dorsal auditory area, layer 5",AUDd5,1,147,153
156,1011,"Dorsal auditory area, layer 6a",AUDd6a,1,147,153
243,1011,"Dorsal auditory area, layer 6b",AUDd6b,1,147,153
480149230,1011,Laterolateral anterior visual area,VISlla,1,147,153
480149234,480149230,"Laterolateral anterior visual area, layer 1",VISlla1,1,147,153
480149238,480149230,"Laterolateral anterior visual area, layer 2/3",VISlla2/3,1,147,153
480149242,480149230,"Laterolateral anterior visual area, layer 4",VISlla4,1,147,153
480149246,480149230,"Laterolateral anterior visual area,layer 5",VISlla5,1,147,153
480149250,480149230,"Laterolateral anterior visual area, layer 6a",VISlla6a,1,147,153
480149254,480149230,"Laterolateral anterior visual area, layer 6b",VISlla6b,1,147,153
1002,247,Primary auditory area,AUDp,1,147,153
735,1002,"Primary auditory area, layer 1",AUDp1,1,147,153
251,1002,"Primary auditory area, layer 2/3",AUDp2/3,1,147,153
816,1002,"Primary auditory area, layer 4",AUDp4,1,147,153
847,1002,"Primary auditory area, layer 5",AUDp5,1,147,153
954,1002,"Primary auditory area, layer 6a",AUDp6a,1,147,153
1005,1002,"Primary auditory area, layer 6b",AUDp6b,1,147,153
1027,247,Posterior auditory area,AUDpo,1,147,153
696,1027,"Posterior auditory area, layer 1",AUDpo1,1,147,153
643,1027,"Posterior auditory area, layer 2/3",AUDpo2/3,1,147,153
759,1027,"Posterior auditory area, layer 4",AUDpo4,1,147,153
791,1027,"Posterior auditory area, layer 5",AUDpo5,1,147,153
249,1027,"Posterior auditory area, layer 6a",AUDpo6a,1,147,153
456,1027,"Posterior auditory area, layer 6b",AUDpo6b,1,147,153
1018,247,Ventral auditory area,AUDv,1,147,153
959,1018,"Ventral auditory area, layer 1",AUDv1,1,147,153
755,1018,"Ventral auditory area, layer 2/3",AUDv2/3,1,147,153
990,1018,"Ventral auditory area, layer 4",AUDv4,1,147,153
1023,1018,"Ventral auditory area, layer 5",AUDv5,1,147,153
520,1018,"Ventral auditory area, layer 6a",AUDv6a,1,147,153
598,1018,"Ventral auditory area, layer 6b",AUDv6b,1,147,153
669,315,Visual areas,VIS,8,133,140
801,669,"Visual areas, layer 1",VIS1,8,133,140
561,669,"Visual areas, layer 2/3",VIS2/3,8,133,140
913,669,"Visual areas, layer 4",VIS4,8,133,140
937,669,"Visual areas, layer 5",VIS5,8,133,140
457,669,"Visual areas, layer 6a",VIS6a,8,133,140
497,669,"Visual areas, layer 6b",VIS6b,8,133,140
402,669,Anterolateral visual area,VISal,8,133,140
1074,402,"Anterolateral visual area, layer 1",VISal1,8,133,140
905,402,"Anterolateral visual area, layer 2/3",VISal2/3,8,133,140
1114,402,"Anterolateral visual area, layer 4",VISal4,8,133,140
233,402,"Anterolateral visual area, layer 5",VISal5,8,133,140
601,402,"Anterolateral visual area, layer 6a",VISal6a,8,133,140
649,402,"Anterolateral visual area, layer 6b",VISal6b,8,133,140
394,669,Anteromedial visual area,VISam,8,133,140
281,394,"Anteromedial visual area, layer 1",VISam1,8,133,140
1066,394,"Anteromedial visual area, layer 2/3",VISam2/3,8,133,140
401,394,"Anteromedial visual area, layer 4",VISam4,8,133,140
433,394,"Anteromedial visual area, layer 5",VISam5,8,133,140
1046,394,"Anteromedial visual area, layer 6a",VISam6a,8,133,140
441,394,"Anteromedial visual area, layer 6b",VISam6b,8,133,140
409,669,Lateral visual area,VISl,8,133,140
421,409,"Lateral visual area, layer 1",VISl1,8,133,140
973,409,"Lateral visual area, layer 2/3",VISl2/3,8,133,140
573,409,"Lateral visual area, layer 4",VISl4,8,133,140
613,409,"Lateral visual area, layer 5",VISl5,8,133,140
74,409,"Lateral visual area, layer 6a",VISl6a,8,133,140
121,409,"Lateral visual area, layer 6b",VISl6b,8,133,140
385,669,Primary visual area,VISp,8,133,140
593,385,"Primary visual area, layer 1",VISp1,8,133,140
821,385,"Primary visual area, layer 2/3",VISp2/3,8,133,140
721,385,"Primary visual area, layer 4",VISp4,8,133,140
778,385,"Primary visual area, layer 5",VISp5,8,133,140
33,385,"Primary visual area, layer 6a",VISp6a,8,133,140
305,385,"Primary visual area, layer 6b",VISp6b,8,133,140
425,669,Posterolateral visual area,VISpl,8,133,140
750,425,"Posterolateral visual area, layer 1",VISpl1,8,133,140
269,425,"Posterolateral visual area, layer 2/3",VISpl2/3,8,133,140
869,425,"Posterolateral visual area, layer 4",VISpl4,8,133,140
902,425,"Posterolateral visual area, layer 5",VISpl5,8,133,140
377,425,"Posterolateral visual area, layer 6a",VISpl6a,8,133,140
393,425,"Posterolateral visual area, layer 6b",VISpl6b,8,133,140
533,669,posteromedial visual area,VISpm,8,133,140
805,533,"posteromedial visual area, layer 1",VISpm1,8,133,140
41,533,"posteromedial visual area, layer 2/3",VISpm2/3,8,133,140
501,533,"posteromedial visual area, layer 4",VISpm4,8,133,140
565,533,"posteromedial visual area, layer 5",VISpm5,8,133,140
257,533,"posteromedial visual area, layer 6a",VISpm6a,8,133,140
469,533,"posteromedial visual area, layer 6b",VISpm6b,8,133,140
312782574,669,Laterointermediate area,VISli,8,133,140
312782578,312782574,"Laterointermediate area, layer 1",VISli1,8,133,140
312782582,312782574,"Laterointermediate area, layer 2/3",VISli2/3,8,133,140
312782586,312782574,"Laterointermediate area, layer 4",VISli4,8,133,140
312782590,312782574,"Laterointermediate area, layer 5",VISli5,8,133,140
312782594,312782574,"Laterointermediate area, layer 6a",VISli6a,8,133,140
312782598,312782574,"Laterointermediate area, layer 6b",VISli6b,8,133,140
312782628,669,Postrhinal area,VISpor,8,133,140
312782632,312782628,"Postrhinal area, layer 1",VISpor1,8,133,140
312782636,312782628,"Postrhinal area, layer 2/3",VISpor2/3,8,133,140
312782640,312782628,"Postrhinal area, layer 4",VISpor4,8,133,140
312782644,312782628,"Postrhinal area, layer 5",VISpor5,8,133,140
312782648,312782628,"Postrhinal area, layer 6a",VISpor6a,8,133,140
312782652,312782628,"Postrhinal area, layer 6b",VISpor6b,8,133,140
31,315,Anterior cingulate area,ACA,64,166,102
572,31,"Anterior cingulate area, layer 1",ACA1,64,166,102
1053,31,"Anterior cingulate area, layer 2/3",ACA2/3,64,166,102
739,31,"Anterior cingulate area, layer 5",ACA5,64,166,102
179,31,"Anterior cingulate area, layer 6a",ACA6a,64,166,102
227,31,"Anterior cingulate area, layer 6b",ACA6b,64,166,102
39,31,"Anterior cingulate area, dorsal part",ACAd,64,166,102
935,39,"Anterior cingulate area, dorsal part, layer 1",ACAd1,64,166,102
211,39,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,64,166,102
1015,39,"Anterior cingulate area, dorsal part, layer 5",ACAd5,64,166,102
919,39,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,64,166,102
927,39,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,64,166,102
48,31,"Anterior cingulate area, ventral part",ACAv,64,166,102
588,48,"Anterior cingulate area, ventral part, layer 1",ACAv1,64,166,102
296,48,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,64,166,102
772,48,"Anterior cingulate area, ventral part, layer 5",ACAv5,64,166,102
810,48,"Anterior cingulate area, ventral part, 6a",ACAv6a,64,166,102
819,48,"Anterior cingulate area, ventral part, 6b",ACAv6b,64,166,102
972,315,Prelimbic area,PL,47,168,80
171,972,"Prelimbic area, layer 1",PL1,47,168,80
195,972,"Prelimbic area, layer 2",PL2,47,168,80
304,972,"Prelimbic area, layer 2/3",PL2/3,47,168,80
363,972,"Prelimbic area, layer 5",PL5,47,168,80
84,972,"Prelimbic area, layer 6a",PL6a,47,168,80
132,972,"Prelimbic area, layer 6b",PL6b,47,168,80
44,315,Infralimbic area,ILA,89,179,99
707,44,"Infralimbic area, layer 1",ILA1,89,179,99
747,44,"Infralimbic area, layer 2",ILA2,89,179,99
556,44,"Infralimbic area, layer 2/3",ILA2/3,89,179,99
827,44,"Infralimbic area, layer 5",ILA5,89,179,99
1054,44,"Infralimbic area, layer 6a",ILA6a,89,179,99
1081,44,"Infralimbic area, layer 6b",ILA6b,89,179,99
714,315,Orbital area,ORB,36,138,94
264,714,"Orbital area, layer 1",ORB1,36,138,94
492,714,"Orbital area, layer 2/3",ORB2/3,36,138,94
352,714,"Orbital area, layer 5",ORB5,36,138,94
476,714,"Orbital area, layer 6a",ORB6a,36,138,94
516,714,"Orbital area, layer 6b",ORB6b,36,138,94
723,714,"Orbital area, lateral part",ORBl,36,138,94
448,723,"Orbital area, lateral part, layer 1",ORBl1,36,138,94
412,723,"Orbital area, lateral part, layer 2/3",ORBl2/3,36,138,94
630,723,"Orbital area, lateral part, layer 5",ORBl5,36,138,94
440,723,"Orbital area, lateral part, layer 6a",ORBl6a,36,138,94
488,723,"Orbital area, lateral part, layer 6b",ORBl6b,36,138,94
731,714,"Orbital area, medial part",ORBm,36,138,94
484,731,"Orbital area, medial part, layer 1",ORBm1,36,138,94
524,731,"Orbital area, medial part, layer 2",ORBm2,36,138,94
582,731,"Orbital area, medial part, layer 2/3",ORBm2/3,36,138,94
620,731,"Orbital area, medial part, layer 5",ORBm5,36,138,94
910,731,"Orbital area, medial part, layer 6a",ORBm6a,36,138,94
527696977,731,"Orbital area, medial part, layer 6b",ORBm6b,36,138,94
738,714,"Orbital area, ventral part",ORBv,36,138,94
746,714,"Orbital area, ventrolateral part",ORBvl,36,138,94
969,746,"Orbital area, ventrolateral part, layer 1",ORBvl1,36,138,94
288,746,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,36,138,94
1125,746,"Orbital area, ventrolateral part, layer 5",ORBvl5,36,138,94
608,746,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,36,138,94
680,746,"Orbital area, ventrolateral part, layer 6b",ORBvl6b,36,138,94
95,315,Agranular insular area,AI,33,152,102
104,95,"Agranular insular area, dorsal part",AId,33,152,102
996,104,"Agranular insular area, dorsal part, layer 1",AId1,33,152,102
328,104,"Agranular insular area, dorsal part, layer 2/3",AId2/3,33,152,102
1101,104,"Agranular insular area, dorsal part, layer 5",AId5,33,152,102
783,104,"Agranular insular area, dorsal part, layer 6a",AId6a,33,152,102
831,104,"Agranular insular area, dorsal part, layer 6b",AId6b,33,152,102
111,95,"Agranular insular area, posterior part",AIp,33,152,102
120,111,"Agranular insular area, posterior part, layer 1",AIp1,33,152,102
163,111,"Agranular insular area, posterior part, layer 2/3",AIp2/3,33,152,102
344,111,"Agranular insular area, posterior part, layer 5",AIp5,33,152,102
314,111,"Agranular insular area, posterior part, layer 6a",AIp6a,33,152,102
355,111,"Agranular insular area, posterior part, layer 6b",AIp6b,33,152,102
119,95,"Agranular insular area, ventral part",AIv,33,152,102
704,119,"Agranular insular area, ventral part, layer 1",AIv1,33,152,102
694,119,"Agranular insular area, ventral part, layer 2/3",AIv2/3,33,152,102
800,119,"Agranular insular area, ventral part, layer 5",AIv5,33,152,102
675,119,"Agranular insular area, ventral part, layer 6a",AIv6a,33,152,102
699,119,"Agranular insular area, ventral part, layer 6b",AIv6b,33,152,102
254,315,Retrosplenial area,RSP,26,166,152
894,254,"Retrosplenial area, lateral agranular part",RSPagl,26,166,152
671,894,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,26,166,152
965,894,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,26,166,152
774,894,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,26,166,152
906,894,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,26,166,152
279,894,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,26,166,152
480149258,894,Mediomedial anterior visual area,VISmma,26,166,152
480149262,480149258,"Mediomedial anterior visual area, layer 1",VISmma1,26,166,152
480149266,480149258,"Mediomedial anterior visual area, layer 2/3",VISmma2/3,26,166,152
480149270,480149258,"Mediomedial anterior visual area, layer 4",VISmma4,26,166,152
480149274,480149258,"Mediomedial anterior visual area,layer 5",VISmma5,26,166,152
480149278,480149258,"Mediomedial anterior visual area, layer 6a",VISmma6a,26,166,152
480149282,480149258,"Mediomedial anterior visual area, layer 6b",VISmma6b,26,166,152
480149286,894,Mediomedial posterior visual area,VISmmp,26,166,152
480149290,480149286,"Mediomedial posterior visual area, layer 1",VISmmp1,26,166,152
480149294,480149286,"Mediomedial posterior visual area, layer 2/3",VISmmp2/3,26,166,152
480149298,480149286,"Mediomedial posterior visual area, layer 4",VISmmp4,26,166,152
480149302,480149286,"Mediomedial posterior visual area,layer 5",VISmmp5,26,166,152
480149306,480149286,"Mediomedial posterior visual area, layer 6a",VISmmp6a,26,166,152
480149310,480149286,"Mediomedial posterior visual area, layer 6b",VISmmp6b,26,166,152
480149314,894,Medial visual area,VISm,26,166,152
480149318,480149314,"Medial visual area, layer 1",VISm1,26,166,152
480149322,480149314,"Medial visual area, layer 2/3",VISm2/3,26,166,152
480149326,480149314,"Medial visual area, layer 4",VISm4,26,166,152
480149330,480149314,"Medial visual area,layer 5",VISm5,26,166,152
480149334,480149314,"Medial visual area, layer 6a",VISm6a,26,166,152
480149338,480149314,"Medial visual area, layer 6b",VISm6b,26,166,152
879,254,"Retrosplenial area, dorsal part",RSPd,26,166,152
442,879,"Retrosplenial area, dorsal part, layer 1",RSPd1,26,166,152
434,879,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,26,166,152
545,879,"Retrosplenial area, dorsal part, layer 4",RSPd4,26,166,152
610,879,"Retrosplenial area, dorsal part, layer 5",RSPd5,26,166,152
274,879,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,26,166,152
330,879,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,26,166,152
886,254,"Retrosplenial area, ventral part",RSPv,26,166,152
542,886,"Retrosplenial area, ventral part, layer 1",RSPv1,26,166,152
606,886,"Retrosplenial area, ventral part, layer 2",RSPv2,26,166,152
430,886,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,26,166,152
687,886,"Retrosplenial area, ventral part, layer 5",RSPv5,26,166,152
590,886,"Retrosplenial area, ventral part, layer 6a",RSPv6a,26,166,152
622,886,"Retrosplenial area, ventral part, layer 6b",RSPv6b,26,166,152
22,315,Posterior parietal association areas,PTLp,0,159,172
532,22,"Posterior parietal association areas, layer 1",PTLp1,0,159,172
241,22,"Posterior parietal association areas, layer 2/3",PTLp2/3,0,159,172
635,22,"Posterior parietal association areas, layer 4",PTLp4,0,159,172
683,22,"Posterior parietal association areas, layer 5",PTLp5,0,159,172
308,22,"Posterior parietal association areas, layer 6a",PTLp6a,0,159,172
340,22,"Posterior parietal association areas, layer 6b",PTLp6b,0,159,172
312782546,22,Anterior area,VISa,0,159,172
312782550,312782546,"Anterior area, layer 1",VISa1,0,159,172
312782554,312782546,"Anterior area, layer 2/3",VISa2/3,0,159,172
312782558,312782546,"Anterior area, layer 4",VISa4,0,159,172
312782562,312782546,"Anterior area, layer 5",VISa5,0,159,172
312782566,312782546,"Anterior area, layer 6a",VISa6a,0,159,172
312782570,312782546,"Anterior area, layer 6b",VISa6b,0,159,172
417,22,Rostrolateral visual area,VISrl,0,159,172
312782604,417,"Rostrolateral area, layer 1",VISrl1,0,159,172
312782608,417,"Rostrolateral area, layer 2/3",VISrl2/3,0,159,172
312782612,417,"Rostrolateral area, layer 4",VISrl4,0,159,172
312782616,417,"Rostrolateral area, layer 5",VISrl5,0,159,172
312782620,417,"Rostrolateral area, layer 6a",VISrl6a,0,159,172
312782624,417,"Rostrolateral area, layer 6b",VISrl6b,0,159,172
541,315,Temporal association areas,TEa,21,176,179
97,541,"Temporal association areas, layer 1",TEa1,21,176,179
1127,541,"Temporal association areas, layer 2/3",TEa2/3,21,176,179
234,541,"Temporal association areas, layer 4",TEa4,21,176,179
289,541,"Temporal association areas, layer 5",TEa5,21,176,179
729,541,"Temporal association areas, layer 6a",TEa6a,21,176,179
786,541,"Temporal association areas, layer 6b",TEa6b,21,176,179
922,315,Perirhinal area,PERI,14,150,132
540,922,"Perirhinal area, layer 1",PERI1,14,150,132
888,922,"Perirhinal area, layer 2/3",PERI2/3,14,150,132
692,922,"Perirhinal area, layer 5",PERI5,14,150,132
335,922,"Perirhinal area, layer 6a",PERI6a,14,150,132
368,922,"Perirhinal area, layer 6b",PERI6b,14,150,132
895,315,Ectorhinal area,ECT,13,159,145
836,895,Ectorhinal area/Layer 1,ECT1,13,159,145
427,895,Ectorhinal area/Layer 2/3,ECT2/3,13,159,145
988,895,Ectorhinal area/Layer 5,ECT5,13,159,145
977,895,Ectorhinal area/Layer 6a,ECT6a,13,159,145
1045,895,Ectorhinal area/Layer 6b,ECT6b,13,159,145
698,695,Olfactory areas,OLF,154,210,189
507,698,Main olfactory bulb,MOB,154,210,189
212,507,"Main olfactory bulb, glomerular layer",MOBgl,130,199,174
220,507,"Main olfactory bulb, granule layer",MOBgr,130,199,174
228,507,"Main olfactory bulb, inner plexiform layer",MOBipl,154,210,189
236,507,"Main olfactory bulb, mitral layer",MOBmi,130,199,174
244,507,"Main olfactory bulb, outer plexiform layer",MOBopl,154,210,189
151,698,Accessory olfactory bulb,AOB,157,240,210
188,151,"Accessory olfactory bulb, glomerular layer",AOBgl,157,240,210
196,151,"Accessory olfactory bulb, granular layer",AOBgr,149,228,200
204,151,"Accessory olfactory bulb, mitral layer",AOBmi,157,240,210
159,698,Anterior olfactory nucleus,AON,84,191,148
167,159,"Anterior olfactory nucleus, dorsal part",AONd,84,191,148
175,159,"Anterior olfactory nucleus, external part",AONe,84,191,148
183,159,"Anterior olfactory nucleus, lateral part",AONl,84,191,148
191,159,"Anterior olfactory nucleus, medial part",AONm,84,191,148
199,159,"Anterior olfactory nucleus, posteroventral part",AONpv,84,191,148
160,159,"Anterior olfactory nucleus, layer 1",AON1,84,191,148
168,159,"Anterior olfactory nucleus, layer 2",AON2,84,191,148
589,698,Taenia tecta,TT,98,208,159
597,589,"Taenia tecta, dorsal part",TTd,98,208,159
297,597,"Taenia tecta, dorsal part, layers 1-4",TTd1-4,98,208,159
1034,597,"Taenia tecta, dorsal part, layer 1",TTd1,98,208,159
1042,597,"Taenia tecta, dorsal part, layer 2",TTd2,98,208,159
1050,597,"Taenia tecta, dorsal part, layer 3",TTd3,98,208,159
1059,597,"Taenia tecta, dorsal part, layer 4",TTd4,98,208,159
605,589,"Taenia tecta, ventral part",TTv,98,208,159
306,605,"Taenia tecta, ventral part, layers 1-3",TTv1-3,98,208,159
1067,605,"Taenia tecta, ventral part, layer 1",TTv1,98,208,159
1075,605,"Taenia tecta, ventral part, layer 2",TTv2,98,208,159
1082,605,"Taenia tecta, ventral part, layer 3",TTv3,98,208,159
814,698,Dorsal peduncular area,DP,164,218,164
496,814,"Dorsal peduncular area, layer 1",DP1,164,218,164
535,814,"Dorsal peduncular area, layer 2",DP2,164,218,164
360,814,"Dorsal peduncular area, layer 2/3",DP2/3,164,218,164
646,814,"Dorsal peduncular area, layer 5",DP5,164,218,164
267,814,"Dorsal peduncular area, layer 6a",DP6a,164,218,164
961,698,Piriform area,PIR,106,203,186
152,961,"Piriform area, layers 1-3",PIR1-3,106,203,186
276,961,"Piriform area, molecular layer",PIR1,106,203,186
284,961,"Piriform area, pyramidal layer",PIR2,106,203,186
291,961,"Piriform area, polymorph layer",PIR3,106,203,186
619,698,Nucleus of the lateral olfactory tract,NLOT,149,228,200
